년월,지점,강수량(mm)
Jan-13,전국,27.8
Feb-13,전국,51
Mar-13,전국,60.7
Apr-13,전국,77
May-13,전국,130
Jun-13,전국,104.4
Jul-13,전국,319.6
Aug-13,전국,161
Sep-13,전국,120.3
Oct-13,전국,54.1
Nov-13,전국,60
Dec-13,전국,21.1
Jan-14,전국,10.3
Feb-14,전국,26.9
Mar-14,전국,77.1
Apr-14,전국,84.4
May-14,전국,59.9
Jun-14,전국,80.7
Jul-14,전국,154.8
Aug-14,전국,373.1
Sep-14,전국,119.4
Oct-14,전국,120.8
Nov-14,전국,55.9
Dec-14,전국,25.5
Jan-15,전국,26.1
Feb-15,전국,25.4
Mar-15,전국,41.7
Apr-15,전국,128.7
May-15,전국,57.6
Jun-15,전국,96
Jul-15,전국,181.5
Aug-15,전국,113.4
Sep-15,전국,56
Oct-15,전국,67
Nov-15,전국,125.7
Dec-15,전국,40.6
Jan-16,전국,24.6
Feb-16,전국,46.7
Mar-16,전국,57
Apr-16,전국,159.5
May-16,전국,98.7
Jun-16,전국,66.8
Jul-16,전국,309.7
Aug-16,전국,78.2
Sep-16,전국,206.2
Oct-16,전국,144.1
Nov-16,전국,32.5
Dec-16,전국,65
Jan-17,전국,14.4
Feb-17,전국,30.6
Mar-17,전국,23.9
Apr-17,전국,71
May-17,전국,30
Jun-17,전국,59.7
Jul-17,전국,313.5
Aug-17,전국,239.5
Sep-17,전국,99.3
Oct-17,전국,65.5
Nov-17,전국,13.1
Dec-17,전국,22
Jan-18,전국,21.3
Feb-18,전국,31.9
Mar-18,전국,112.3
Apr-18,전국,137.1
May-18,전국,134.1
Jun-18,전국,137.5
Jul-18,전국,178.9
Aug-18,전국,304.3
Sep-18,전국,143.7
Oct-18,전국,157.8
Nov-18,전국,49.8
Dec-18,전국,28.4
Jan-19,전국,8
Feb-19,전국,32.2
Mar-19,전국,39.4
Apr-19,전국,78.9
May-19,전국,56.7
Jun-19,전국,150
Jul-19,전국,226.5
Aug-19,전국,136.9
Sep-19,전국,223
Oct-19,전국,160.5
Nov-19,전국,57.4
Dec-19,전국,26.5
Jan-20,전국,83.7
Feb-20,전국,58.7
Mar-20,전국,29.2
Apr-20,전국,41
May-20,전국,103.5
Jun-20,전국,182.9
Jul-20,전국,427.7
Aug-20,전국,420.8
Sep-20,전국,219.1
Oct-20,전국,10.5
Nov-20,전국,40.8
Dec-20,전국,7.8
Jan-21,전국,19.9
Feb-21,전국,20.1
Mar-21,전국,110.7
Apr-21,전국,76.3
May-21,전국,143.8
Jun-21,전국,91.6
Jul-21,전국,233.8
Aug-21,전국,288.4
Sep-21,전국,145.8
Oct-21,전국,53.9
Nov-21,전국,58
Dec-21,전국,7.2
Jan-22,전국,2.6
Feb-22,전국,3.5
Mar-22,전국,89.4
Apr-22,전국,59.4
May-22,전국,5.8
Jun-22,전국,184.7
Jul-22,전국,178.4
Aug-22,전국,311.5
Sep-22,전국,150.8
Oct-22,전국,77.6
Nov-22,전국,61.6
Dec-22,전국,15.2
Jan-23,전국,40.5
Feb-23,전국,15.2
Mar-23,전국,28.7
Apr-23,전국,66.3
May-23,전국,193.4
Jun-23,전국,210
Jul-23,전국,506.1
Aug-23,전국,299.6
Sep-23,전국,197.3
Oct-23,전국,17
Nov-23,전국,0
